ts_local,weekday,hour,is_weekend,activity_level,lambda_ci,checkins,checkouts,treadmill_sessions,strength_sessions,other_sessions,avg_session_min
2025-09-07 10:00:00,6,10.0,1,0.7,0.7708212697496235,6,3,2,3,1,66
2025-09-07 10:15:00,6,10.25,1,0.7,0.891653373567789,7,3,2,3,2,68
2025-09-07 10:30:00,6,10.5,1,0.7,0.7502129932809135,5,0,2,2,1,68
2025-09-07 10:45:00,6,10.75,1,0.7,0.5486597429887574,3,0,1,1,1,71
2025-09-07 11:00:00,6,11.0,1,0.4,0.523731497226879,4,0,1,2,1,73
2025-09-07 11:15:00,6,11.25,1,0.4,0.4951997927317165,2,1,1,1,0,72
2025-09-07 11:30:00,6,11.5,1,0.4,0.5750811930439894,6,4,2,3,1,71
2025-09-07 11:45:00,6,11.75,1,0.4,0.4180052818330216,2,3,1,1,0,71
2025-09-07 12:00:00,6,12.0,1,0.4,0.4215309296788409,4,1,1,2,1,83
2025-09-07 12:15:00,6,12.25,1,0.4,0.49513231673172875,8,4,2,4,2,66
2025-09-07 12:30:00,6,12.5,1,0.4,0.43102358435929794,1,4,0,1,0,70
2025-09-07 12:45:00,6,12.75,1,0.4,0.44394885881126395,3,0,1,2,0,61
2025-09-07 13:00:00,6,13.0,1,0.4,0.5786142542289702,3,5,1,2,0,68
2025-09-07 13:15:00,6,13.25,1,0.4,0.4303585744655062,4,8,1,2,1,66
2025-09-07 13:30:00,6,13.5,1,0.4,0.49567239297082605,0,1,0,0,0,66
2025-09-07 13:45:00,6,13.75,1,0.4,0.5163777968581353,5,3,1,3,1,64
2025-09-07 14:00:00,6,14.0,1,0.4,0.45752189019274503,3,3,1,2,0,63
2025-09-07 14:15:00,6,14.25,1,0.4,0.47762610067883765,1,7,0,1,0,71
2025-09-07 14:30:00,6,14.5,1,0.4,0.405213904051814,5,0,1,3,1,74
2025-09-07 14:45:00,6,14.75,1,0.4,0.5324123396870825,7,1,2,4,1,66
2025-09-07 15:00:00,6,15.0,1,0.4,0.4210063201904305,1,3,0,1,0,60
2025-09-07 15:15:00,6,15.25,1,0.4,0.4647942659701021,4,1,1,2,1,71
2025-09-07 15:30:00,6,15.5,1,0.4,0.37271519859067276,3,4,1,2,0,72
2025-09-07 15:45:00,6,15.75,1,0.4,0.34514374256847075,1,5,0,1,0,73
2025-09-07 16:00:00,6,16.0,1,0.4,0.5650280382991859,10,0,2,6,2,65
2025-09-07 16:15:00,6,16.25,1,0.4,0.4580863603264072,1,3,0,1,0,67
2025-09-07 16:30:00,6,16.5,1,0.4,0.501539337795822,3,1,1,2,0,64
2025-09-07 16:45:00,6,16.75,1,0.4,0.45718174589251453,3,0,1,2,0,66
2025-09-07 17:00:00,6,17.0,1,1.1,1.2698877872148768,8,6,2,5,1,66
2025-09-07 17:15:00,6,17.25,1,1.1,1.425388081883281,13,1,3,8,2,67
2025-09-07 17:30:00,6,17.5,1,1.1,1.3330087460937707,8,3,2,5,1,69
2025-09-07 17:45:00,6,17.75,1,1.1,1.4338046547683996,9,2,2,5,2,71
2025-09-07 18:00:00,6,18.0,1,1.1,1.0874650530759633,4,8,1,2,1,66
2025-09-07 18:15:00,6,18.25,1,1.1,1.2733757196715592,15,11,3,9,3,69
2025-09-07 18:30:00,6,18.5,1,1.1,1.3087303882087484,6,5,1,4,1,65
2025-09-07 18:45:00,6,18.75,1,1.1,1.3699955549624803,13,4,3,8,2,61
2025-09-07 19:00:00,6,19.0,1,0.9,1.1603765273115412,9,4,2,5,2,73
2025-09-07 19:15:00,6,19.25,1,0.9,1.2310973015377793,5,10,1,3,1,67
2025-09-07 19:30:00,6,19.5,1,0.9,1.1442512170006423,10,4,2,6,2,61
2025-09-07 19:45:00,6,19.75,1,0.9,1.0707217385899206,11,6,2,6,3,73
2025-09-07 20:00:00,6,20.0,1,0.9,1.0025831402988978,8,7,2,5,1,69
2025-09-07 20:15:00,6,20.25,1,0.9,0.9474638763733965,2,9,0,1,1,72
2025-09-07 20:30:00,6,20.5,1,0.9,0.9603119471811422,8,6,2,5,1,72
2025-09-07 20:45:00,6,20.75,1,0.9,0.6911423841342086,6,9,1,3,2,65
2025-09-07 21:00:00,6,21.0,1,0.5,0.6024757030175686,8,8,2,5,1,75
2025-09-07 21:15:00,6,21.25,1,0.5,0.6354469639295047,3,0,1,2,0,61
2025-09-07 21:30:00,6,21.5,1,0.5,0.5946857642506195,6,1,1,3,2,68
2025-09-07 21:45:00,6,21.75,1,0.5,0.6344086627207469,9,6,2,5,2,68
