ts_local,weekday,hour,is_weekend,activity_level,lambda_ci,checkins,checkouts,cardio_sessions,strength_sessions,other_sessions,avg_session_min
2025-01-01 06:00:00,2,6,False,high,19,21,21,5,7,9,60.7
2025-01-01 07:00:00,2,7,False,high,15,9,8,2,4,3,63.0
2025-01-01 08:00:00,2,8,False,high,21,26,24,6,12,8,50.2
2025-01-01 09:00:00,2,9,False,high,7,6,4,1,1,4,65.6
2025-01-01 10:00:00,2,10,False,high,15,23,23,5,11,7,69.0
2025-01-01 11:00:00,2,11,False,high,22,25,24,6,12,7,53.8
2025-01-01 12:00:00,2,12,False,high,11,15,14,3,5,7,47.4
2025-01-01 13:00:00,2,13,False,high,19,20,18,5,6,9,58.4
2025-01-01 14:00:00,2,14,False,high,15,9,8,2,4,3,65.3
2025-01-01 15:00:00,2,15,False,high,21,18,16,6,6,6,76.5
2025-01-01 16:00:00,2,16,False,high,19,20,19,7,8,5,62.5
2025-01-01 17:00:00,2,17,False,high,18,15,14,3,6,6,69.1
2025-01-01 18:00:00,2,18,False,high,13,13,12,2,5,6,71.7
2025-01-01 19:00:00,2,19,False,high,15,22,20,5,9,8,65.0
2025-01-01 20:00:00,2,20,False,high,15,15,13,4,4,7,58.2
2025-01-01 21:00:00,2,21,False,high,19,21,20,7,7,7,50.7
2025-01-01 22:00:00,2,22,False,high,13,8,8,3,3,2,55.7
2025-01-02 06:00:00,3,6,False,high,16,14,12,4,6,4,64.0
2025-01-02 07:00:00,3,7,False,high,14,12,10,4,5,3,42.4
2025-01-02 08:00:00,3,8,False,high,20,21,20,6,8,7,61.2
2025-01-02 09:00:00,3,9,False,high,12,10,8,3,3,4,69.2
2025-01-02 10:00:00,3,10,False,high,14,12,11,2,4,6,81.1
2025-01-02 11:00:00,3,11,False,high,15,15,14,4,4,7,57.8
2025-01-02 12:00:00,3,12,False,high,18,23,22,5,8,10,64.0
2025-01-02 13:00:00,3,13,False,high,19,18,16,4,7,7,54.7
2025-01-02 14:00:00,3,14,False,high,17,16,15,5,7,4,38.9
2025-01-02 15:00:00,3,15,False,high,19,16,15,5,5,6,66.7
2025-01-02 16:00:00,3,16,False,high,6,8,8,1,3,4,40.2
2025-01-02 17:00:00,3,17,False,high,17,19,18,4,6,9,58.9
2025-01-02 18:00:00,3,18,False,high,21,27,26,9,9,9,58.2
2025-01-02 19:00:00,3,19,False,high,11,13,11,3,4,6,59.2
2025-01-02 20:00:00,3,20,False,high,15,23,22,7,10,6,61.8
2025-01-02 21:00:00,3,21,False,high,26,24,23,8,11,5,45.6
2025-01-02 22:00:00,3,22,False,high,16,14,12,2,6,6,69.9
2025-01-03 06:00:00,4,6,False,high,15,13,12,3,6,4,48.9
2025-01-03 07:00:00,4,7,False,high,12,20,19,7,9,4,70.0
2025-01-03 08:00:00,4,8,False,high,13,16,16,5,7,4,63.2
2025-01-03 09:00:00,4,9,False,high,19,20,19,4,7,9,45.9
2025-01-03 10:00:00,4,10,False,high,18,21,19,7,7,7,73.6
2025-01-03 11:00:00,4,11,False,high,14,16,15,3,6,7,73.7
2025-01-03 12:00:00,4,12,False,high,15,15,13,4,7,4,45.9
2025-01-03 13:00:00,4,13,False,high,20,21,20,4,9,8,69.1
2025-01-03 14:00:00,4,14,False,high,6,1,0,0,0,1,61.7
2025-01-03 15:00:00,4,15,False,high,16,11,10,4,5,2,40.4
2025-01-03 16:00:00,4,16,False,high,16,21,20,5,10,6,58.7
2025-01-03 17:00:00,4,17,False,high,18,28,26,10,8,10,61.2
2025-01-03 18:00:00,4,18,False,high,17,12,12,3,5,4,54.4
2025-01-03 19:00:00,4,19,False,high,12,8,7,2,2,4,54.8
2025-01-03 20:00:00,4,20,False,high,15,10,10,3,3,4,53.5
2025-01-03 21:00:00,4,21,False,high,15,14,13,5,6,3,77.1
2025-01-03 22:00:00,4,22,False,high,17,23,21,7,8,8,59.8
2025-01-04 06:00:00,5,6,True,high,15,18,17,6,6,6,55.1
2025-01-04 07:00:00,5,7,True,high,10,10,10,2,3,5,49.5
2025-01-04 08:00:00,5,8,True,high,9,6,5,1,2,3,45.0
2025-01-04 09:00:00,5,9,True,high,15,20,19,6,8,6,60.5
2025-01-04 10:00:00,5,10,True,high,21,22,21,5,7,10,50.5
2025-01-04 11:00:00,5,11,True,high,11,15,14,5,7,3,62.1
2025-01-04 12:00:00,5,12,True,high,14,15,14,4,5,6,56.3
2025-01-04 13:00:00,5,13,True,high,17,15,15,4,7,4,59.3
2025-01-04 14:00:00,5,14,True,high,13,13,11,3,4,6,63.3
2025-01-04 15:00:00,5,15,True,high,15,19,17,7,7,5,60.1
2025-01-04 16:00:00,5,16,True,high,17,19,18,7,7,5,62.6
2025-01-04 17:00:00,5,17,True,high,18,15,15,4,6,5,65.3
2025-01-04 18:00:00,5,18,True,high,16,11,9,3,3,5,49.7
2025-01-04 19:00:00,5,19,True,high,16,9,7,2,3,4,50.2
2025-01-04 20:00:00,5,20,True,high,19,11,9,2,3,6,44.8
2025-01-04 21:00:00,5,21,True,high,18,18,16,5,8,5,71.6
2025-01-04 22:00:00,5,22,True,high,11,8,8,1,2,5,68.9
2025-01-05 06:00:00,6,6,True,high,12,14,14,2,6,6,42.9
2025-01-05 07:00:00,6,7,True,high,13,16,14,3,7,6,44.0
2025-01-05 08:00:00,6,8,True,high,13,11,9,3,4,4,36.9
2025-01-05 09:00:00,6,9,True,high,17,13,12,3,5,5,59.5
2025-01-05 10:00:00,6,10,True,high,18,19,18,5,8,6,54.8
2025-01-05 11:00:00,6,11,True,high,13,16,14,3,7,6,65.3
2025-01-05 12:00:00,6,12,True,high,16,16,15,3,5,8,65.8
2025-01-05 13:00:00,6,13,True,high,19,25,25,5,11,9,50.1
2025-01-05 14:00:00,6,14,True,high,25,20,18,5,6,9,62.1
2025-01-05 15:00:00,6,15,True,high,17,15,15,5,6,4,62.3
2025-01-05 16:00:00,6,16,True,high,14,14,14,4,6,4,56.4
2025-01-05 17:00:00,6,17,True,high,13,12,12,4,4,4,55.0
2025-01-05 18:00:00,6,18,True,high,12,15,14,4,4,7,60.9
2025-01-05 19:00:00,6,19,True,high,12,17,16,6,8,3,45.1
2025-01-05 20:00:00,6,20,True,high,14,14,14,5,4,5,73.4
2025-01-05 21:00:00,6,21,True,high,16,13,13,4,5,4,49.1
2025-01-05 22:00:00,6,22,True,high,16,15,14,3,4,8,67.9
2025-01-06 06:00:00,0,6,False,high,13,14,12,4,5,5,61.1
2025-01-06 07:00:00,0,7,False,high,12,8,6,1,3,4,56.7
2025-01-06 08:00:00,0,8,False,high,14,9,7,3,3,3,60.4
2025-01-06 09:00:00,0,9,False,high,25,21,19,6,7,8,50.8
2025-01-06 10:00:00,0,10,False,high,18,12,12,3,4,5,53.9
2025-01-06 11:00:00,0,11,False,high,18,12,10,4,5,3,49.2
2025-01-06 12:00:00,0,12,False,high,25,30,29,8,12,10,62.3
2025-01-06 13:00:00,0,13,False,high,17,18,18,6,7,5,48.0
2025-01-06 14:00:00,0,14,False,high,21,22,22,6,10,6,70.7
2025-01-06 15:00:00,0,15,False,high,11,11,11,4,3,4,47.4
2025-01-06 16:00:00,0,16,False,high,21,22,21,8,8,6,58.1
2025-01-06 17:00:00,0,17,False,high,16,14,14,3,4,7,59.8
2025-01-06 18:00:00,0,18,False,high,22,26,25,7,12,7,70.7
2025-01-06 19:00:00,0,19,False,high,27,23,23,7,9,7,70.0
2025-01-06 20:00:00,0,20,False,high,13,17,16,3,5,9,54.0
2025-01-06 21:00:00,0,21,False,high,15,13,13,2,4,7,60.5
2025-01-06 22:00:00,0,22,False,high,18,22,22,8,7,7,50.1
2025-01-07 06:00:00,1,6,False,high,20,22,21,7,9,6,76.6
2025-01-07 07:00:00,1,7,False,high,21,14,12,4,4,6,59.8
2025-01-07 08:00:00,1,8,False,high,9,9,7,1,2,6,66.9
2025-01-07 09:00:00,1,9,False,high,17,18,17,6,7,5,64.1
2025-01-07 10:00:00,1,10,False,high,15,21,21,6,7,8,57.2
2025-01-07 11:00:00,1,11,False,high,10,9,9,2,2,5,36.6
2025-01-07 12:00:00,1,12,False,high,15,13,11,3,6,4,56.9
2025-01-07 13:00:00,1,13,False,high,13,16,15,6,5,5,42.9
2025-01-07 14:00:00,1,14,False,high,19,17,17,3,8,6,45.1
2025-01-07 15:00:00,1,15,False,high,15,16,15,4,6,6,47.6
2025-01-07 16:00:00,1,16,False,high,20,18,16,4,8,6,65.9
2025-01-07 17:00:00,1,17,False,high,18,19,18,5,9,5,67.0
2025-01-07 18:00:00,1,18,False,high,11,10,8,3,3,4,68.9
2025-01-07 19:00:00,1,19,False,high,15,15,13,5,4,6,54.1
2025-01-07 20:00:00,1,20,False,high,15,14,14,4,5,5,66.2
2025-01-07 21:00:00,1,21,False,high,16,15,14,3,5,7,61.9
2025-01-07 22:00:00,1,22,False,high,23,27,27,5,8,14,73.3
2025-01-08 06:00:00,2,6,False,high,12,11,10,3,4,4,63.5
2025-01-08 07:00:00,2,7,False,high,22,18,17,4,5,9,62.1
2025-01-08 08:00:00,2,8,False,high,15,16,16,3,6,7,51.4
2025-01-08 09:00:00,2,9,False,high,15,21,19,6,7,8,53.6
2025-01-08 10:00:00,2,10,False,high,16,19,18,5,7,7,58.4
2025-01-08 11:00:00,2,11,False,high,14,5,3,1,2,2,50.6
2025-01-08 12:00:00,2,12,False,high,15,15,14,4,5,6,47.2
2025-01-08 13:00:00,2,13,False,high,13,15,13,5,5,5,59.4
2025-01-08 14:00:00,2,14,False,high,18,14,14,4,6,4,59.6
2025-01-08 15:00:00,2,15,False,high,11,9,8,2,3,4,55.6
2025-01-08 16:00:00,2,16,False,high,9,11,10,2,3,6,70.8
2025-01-08 17:00:00,2,17,False,high,17,12,12,4,5,3,76.0
2025-01-08 18:00:00,2,18,False,high,12,12,11,3,5,4,55.5
2025-01-08 19:00:00,2,19,False,high,11,8,8,1,3,4,55.2
2025-01-08 20:00:00,2,20,False,high,18,15,14,3,7,5,52.2
2025-01-08 21:00:00,2,21,False,high,16,20,19,5,8,7,48.6
2025-01-08 22:00:00,2,22,False,high,16,17,16,4,7,6,53.7
2025-01-09 06:00:00,3,6,False,high,15,17,16,4,5,8,62.7
2025-01-09 07:00:00,3,7,False,high,10,7,5,2,2,3,58.9
2025-01-09 08:00:00,3,8,False,high,11,15,15,5,7,3,52.9
2025-01-09 09:00:00,3,9,False,high,19,11,10,2,3,6,83.4
2025-01-09 10:00:00,3,10,False,high,12,14,14,4,6,4,32.5
2025-01-09 11:00:00,3,11,False,high,17,23,22,6,6,11,82.9
2025-01-09 12:00:00,3,12,False,high,13,18,17,4,8,6,62.0
2025-01-09 13:00:00,3,13,False,high,18,14,14,3,5,6,53.4
2025-01-09 14:00:00,3,14,False,high,14,12,10,3,3,6,57.2
2025-01-09 15:00:00,3,15,False,high,11,6,5,1,2,3,41.9
2025-01-09 16:00:00,3,16,False,high,12,11,11,3,4,4,45.9
2025-01-09 17:00:00,3,17,False,high,17,16,14,4,7,5,47.8
2025-01-09 18:00:00,3,18,False,high,12,12,11,4,4,4,59.5
2025-01-09 19:00:00,3,19,False,high,22,24,23,8,11,5,44.5
2025-01-09 20:00:00,3,20,False,high,16,13,13,4,6,3,68.2
2025-01-09 21:00:00,3,21,False,high,13,20,20,6,9,5,47.8
2025-01-09 22:00:00,3,22,False,high,13,12,12,3,5,4,68.4
2025-01-10 06:00:00,4,6,False,high,24,32,31,11,11,10,47.1
2025-01-10 07:00:00,4,7,False,high,12,15,14,5,5,5,77.9
2025-01-10 08:00:00,4,8,False,high,20,17,16,3,8,6,57.0
2025-01-10 09:00:00,4,9,False,high,15,13,11,4,6,3,45.4
2025-01-10 10:00:00,4,10,False,high,22,25,25,6,7,12,58.0
2025-01-10 11:00:00,4,11,False,high,18,8,8,1,2,5,66.2
2025-01-10 12:00:00,4,12,False,high,18,21,19,5,9,7,53.4
2025-01-10 13:00:00,4,13,False,high,12,10,8,3,3,4,61.5
